Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
Whittling Moravian Star Ornaments,Use one knife and simple geometry to carve stars in various sizes,"Sebring, Jody",,,WHITSIP2013,Whittling Vol. 2,2013,46,moravian star,holidays,geometry,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Whittling Lovespoons,Quick and easy project make a meaningful gift for a loved one,"Western, David",,,WHITSIP2013,Whittling Vol. 2,2013,50,lovespoon,traditional,elegant,gift,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Carving Interlocking Hearts,Create beautiful linked shapes from a single block of wood,"Jespersen, Bjarne",,,WHITSIP2013,Whittling Vol. 2,2013,54,single piece of wood,interlocking,hearts,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Whittling a Branch Rooster,Turn a twig into a classic carving,"Lubkemann, Chris",,,WHITSIP2013,Whittling Vol. 2,2013,58,wildlife,rooster,branch,rooster,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Americana Eagle Walking Stick,Folk-art walking stick was inspired by historic carvings,"Cipa, Shawn",,,WHITSIP2013,Whittling Vol. 2,2013,63,walking stick,eagle,americana,folk-art,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Farmyard Animal Patterns,Create ornaments or freestanding toys from these simple designs,"Bertils, Irene",,,WHITSIP2013,Whittling Vol. 2,2013,68,wildlife,farm,animals,ornaments,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Eagle Neckerchief Slide,Patriotic project is easy for kids and still satisfying for adults,"Reitmeyer, Robert",,,WHITSIP2013,Whittling Vol. 2,2013,72,neckerchief,boy scouts,bald eagle,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Carving Java John,Use large flat planes to emphasize exaggerated features,"Refsal, Harley",,,WHITSIP2013,Whittling Vol. 2,2013,76,caricature,flat-plane,exaggerated features,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Carving a Tiny Hippo,Practice carving animal caricatures with this funny miniature,"Tomashek, Steve",,,WHITSIP2013,Whittling Vol. 2,2013,83,wildlife,hippo,caricature,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Carve Your First Wood Spirit,Simple method uses triangles to make it easy,"Calder, Jim",,,WHITSIP2013,Whittling Vol. 2,2013,86,woodspirit,beginner,triangle blank,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Man in the Moon,Simple carving uses just a knife and a scrap of basswood,"Stetson, Dave",,,WHITSIP2013,Whittling Vol. 2,2013,89,moon,basswood,caricature,scraps,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Play With Your Food,Carve fun faces from sweet potatoes,"Jensen, Rick",,,WHITSIP2013,Whittling Vol. 2,2013,92,sweet potato,caricatures,carving,slicing cut,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Whittling a Gnome,"Learn to mak a standing gnome, and then try your own variations","Hindes, Tom",,,WHITSIP2013,Whittling Vol. 2,2013,96,gnome,beginner,caricature,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Whittling a Nuthatch,Use a utility knife to carve a charming folk-art bird,"Cutts, Glyn",,,WHITSIP2013,Whittling Vol. 2,2013,100,wildlife,nuthatch,birds,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Making Miniature Gargoyles,Tiny but fierce figures can protect your computer or coffee table,"Hindes, Tom",,,WHITSIP2013,Whittling Vol. 2,2013,104,gargolyes,beginner,miniature,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Heart-Shaped Bottle Stopper,Simple stopper makes a great gift,"Young, Greg",,,WHITSIP2013,Whittling Vol. 2,2013,108,bottle stopper,hearts,gift,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Cupid's Arrow,Make a unique version of a classic carving,"Randich, Keith",,,WHITSIP2013,Whittling Vol. 2,2013,110,classic,hearts,arrow,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/whittling-volume-2-2013.html
Norwegian-style Wooden Chain,A different take on the standard carved wooden chain,"Western, David",,,WHITSIP2014,Whittling Vol. 3,2014,10,wooden chain,norwegian-style,chain,whittling,,
Ball-in-Cage Letter Opener,Carve a useful tool embellished by a classic design,"Zanauskas, Pete",,,WHITSIP2014,Whittling Vol. 3,2014,12,letter opener,ball-in-cage,useful,gift,,
Impossible Dovetail Puzzle,Classic whittling project makes a fun puzzle,"Stewart, David",,,WHITSIP2014,Whittling Vol. 3,2014,15,puzzle,dovetail,impossible,,,
Stompin' Boot Ornament,"Naught, nice, or a little of each? Fun ornament lets you decide","Fenton, Gary",,,WHITSIP2014,Whittling Vol. 3,2014,16,ornament,boot,whittling,,,
Spiral Icicle Ornaments,Change the look--and the challenge--by carving more spirals,"Sebring, Jody",,,WHITSIP2014,Whittling Vol. 3,2014,18,ornaments,icicle,spiral,,,
Twisted Ball-in-Cage,Carve this modern take on a classic whimsy,"LeFave, Ed",,,WHITSIP2014,Whittling Vol. 3,2014,20,ball-in-cage,whimsy,twisted,,,
Ball-in-Cage Rattle,Attractive rattle combines three classic designs,"Egholm, Frank",,,WHITSIP2014,Whittling Vol. 3,2014,24,rattle,ball-in-cage,toy,,,
Soap Zoo Animals,Teach youngsters the basics of carving without the risk of cuts,"Bolyard, Janet",,,WHITSIP2014,Whittling Vol. 3,2014,26,soap carving,alternative materials,animals,wildlife,,
Teaching Kids to Carve,Simple suggestions make it fun and easy,"Kinsey, Mindy",,,WHITSIP2014,Whittling Vol. 3,2014,29,carving with kids,next generation,simple,beginners,,
Introducing Potato Wood,Manufactured material made from potato starch is forgiving and easy to carve,"Tomashek, Steve",,,WHITSIP2014,Whittling Vol. 3,2014,30,potato wood,alternative materials,whittling,,,
Quick Campfire Fork,Turn any twig into a useful cooking utensil in just six steps,"Lubkemann, Chris",,,WHITSIP2014,Whittling Vol. 3,2014,34,utensil,camp fork,whittling,easy,,
Carving a Neckerchief Slide,Classic Boy Scout project can easily become a magnet or pin,"Reitmeyer, Bob",,,WHITSIP2014,Whittling Vol. 3,2014,36,neckerchief slide,carving,boy scouts,,,
XO Chain,Turn a classic whittling project into an expression of love,"Proseilo, Jack",,,WHITSIP2014,Whittling Vol. 3,2014,38,whittling,chain,interlocking,valentines,,
Ozark Caricature Pin,Practice carving caricatures with this cute country face,"Morgan, Chris",,,WHITSIP2014,Whittling Vol. 3,2014,41,caricatures,pin,ozark,,,
Bark Pine Trees,Use cottonwood bark scraps to create whimsical pine tree magnets,"Elswit, Betsy",,,WHITSIP2014,Whittling Vol. 3,2014,42,cottonwood bark,pine trees,magnets,,,
Pinhead Whittle Folk,Turn clothespins into caricatures in five simple steps,"Mertz, Donald K.",,,WHITSIP2014,Whittling Vol. 3,2014,44,caricatures,clothespins,alternate materials,,,
Shaping a Shamrock,Practice carving thin curves by making a lucky pin,"Moore, John W.",,,WHITSIP2014,Whittling Vol. 3,2014,46,shamrock,whittling,miniature,pin,,
Make Your Own Monster,Combine critter parts to create your own imaginary monster,"Tomashek, Steve",,,WHITSIP2014,Whittling Vol. 3,2014,48,monster,carving,imaginary,whittling,,
Pencil Wood Spirits,Turn standard pencils into whimsical wood spirits,"Anderson, Terry",,,WHITSIP2014,Whittling Vol. 3,2014,51,whittling,pencils,caricatures,,,
Whittling a Pelican,Stylized bird is the symbol of summer,"Coffman, Christine",,,WHITSIP2014,Whittling Vol. 3,2014,54,pelican,bird,whittling,summer,,
Uncle Sam &amp; Friends,One pattern makes 4 fun figures,"Hindes, Tom",,,WHITSIP2014,Whittling Vol. 3,2014,56,uncle sam,patriotic,whittling,,,
Caricature Snowman,Start your holiday carving early with this fun design,"Young, Greg",,,WHITSIP2014,Whittling Vol. 3,2014,58,snowman,holidays,caricature,,,
Whittle a Twig Tree,Shave curly boughs to create a miniature evergreen,"Lubkemann, Chris",,,WHITSIP2014,Whittling Vol. 3,2014,60,whittle,whimsy,tree,twig,,
Mocha Mary,Carve this delightful coffee shop owner and customize her with glued-on accessories,"Refsal, Harley",,,WHITSIP2014,Whittling Vol. 3,2014,63,caricature,coffee shop,whittling,,,
Celtic Knotwork,"Simple design can be a brooch, pendant, or ornament","Western, David",,,WHITSIP2014,Whittling Vol. 3,2014,66,celtic,knotwork,ornament,jewelry,,
Teddy Bear Ornament,Create this whimsical ornament in a weekend,"Ellis, Tom",,,WHITSIP2014,Whittling Vol. 3,2014,68,ornament,teddy bear,sock,,,
Unicorn Letter Opener,A fun and functional fantasy carving,"Elswit, Betsy",,,WHITSIP2014,Whittling Vol. 3,2014,72,unicorn,letter,opener,fantasy,,
Easy-Carve Santa,Simple Santa is quick to carve and fun to give,"Hindes, Tom",,,WHITSIP2014,Whittling Vol. 3,2014,74,santa,holidays,beginner,,,
Carving an Angel,Fan-style wings make this whittling project stand out,"Wiebe, Rick",,,WHITSIP2014,Whittling Vol. 3,2014,75,angel,holidays,fan-style,whittling,,
Hand-Hewn Wooden Cup,"Rustic cup is traditional, functionl, and sensible","Wiebe, Rick",,,WHITSIP2014,Whittling Vol. 3,2014,80,wooden cup,whittling,rustic,,,
Choosing a Whittling Knife,What to look for when selecting a folding knife,Staff,,,WHITSIP2014,Whittling Vol. 3,2014,86,whittling,basics,knives,,,
The Basics of Sharpening,Properly prepare your knife for safe and enjoyable whittling,Staff,,,WHITSIP2014,Whittling Vol. 3,2014,88,whittle,basics,sharpening,,,
Comfortable Carving,Simple changes and stretches make it comfortable to carve for long periods of time,"Swartz, Don",,,WHITSIP2014,Whittling Vol. 3,2014,90,whittling,carving,comfort,neck pain,back pain,
Whittling Safety,A few simple rules revent injuries when whittling,Staff,,,WHITSIP2014,Whittling Vol. 3,2014,94,whittling,basics,safety,,,
Learn the Basic Knife Cuts for Whittling,Complete most projects with four types of cuts,Staff,,,WHITSIP2014,Whittling Vol. 3,2014,96,whittling,basics,knife cuts,,,
Product Review,"Zippo 4-in-1 Woodsman, Gerber Three-Blade Stock Knife, Case Seahorse Whittler",Staff,,,66,Spring,2014,12,Zippo,multitool,Gerber,three-blade knife,Case Cutlery,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Turning Over a New Leaf,Upcycle a vintage wooden bowl with power-carved leaves,"McCaffrey, Keoma",,,66,Spring,2014,19,power carve,bowl,leaf,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Stunning Soap Carving,Experts turn simple soap into works of art,"Ryan, Kathleen",,,66,Spring,2014,24,alternate materials,soap,gallery,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Carving a Soap Flower,"Soft and lacking grain, a bar of soap is easy to carve","Wagner, Sue",,,66,Spring,2014,26,alternate materials,soap,flowers,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Little Stinker,Amusing skunk caricature is easy to customize,"Hershey, Bob",,,66,Spring,2014,28,caricature,wildlife,skunk,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Fantastic Wizard,Stylized Design is easy to carve and customize,"Cipa, Shawn",,,66,Spring,2014,35,wizard,beginner,caricature,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Chip-Carved Bread Board,Customize the design to make a personalized kitchen decoration,"Barton, Wayne",,,66,Spring,2014,38,chip carving,kitchen,breadboard,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Floral Love Spoon,Combine power carving with hand tools to make this attractive project,"Onslow, Barry",,,66,Spring,2014,45,power carving,hand carving,lovespoon,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Celtic Twist Green Man,Combine Celtic knotwork with a traditional green man for a modern relief carving,"Irish, Lora S",,,66,Spring,2014,50,relief,celtic,green man,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Carving and Turning: Lathes,Make your own carving blanks while learning a new hobby,Staff,,,66,Spring,2014,52,woodturning,lathes,shopmade,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Scrambled Eggs,Transform turned eggs into whimsical fish,"Reichling, John",,,66,Spring,2014,54,woodturning,eggs,fish,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Carving a Northern Cardinal,Use disposable blades to carve this colorful songbird,"Everitt, Terry",,,66,Spring,2014,60,wildlife,birds,disposable blades,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Learn to Paint: Spring Tulips,"Practice painting with this new series; start by learning about acrylic paints, brushes, and blending","Padden, Betty",,,66,Spring,2014,66,painting,beginner,flowers,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Carving a Native American,Realistic Western icon is simple but powerful,"Martin, Stu",,,66,Spring,2014,70,native american,realistic,beginner,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Power Carving a Morning Glory,Use a delicate touch to carve this stunning flower,"Marsh, Wanda",,,66,Spring,2014,76,power carving,flowers,technique,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
Want-A-Be,A fun caricature of a mule who wants to be so much more,"Thornton, Dennis and Susan",,,66,Spring,2014,86,caricature,wildlife,mule,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-66-spring-2014.html
The Next Generation of Woodcarvers,Meet six award-winning young carvers,"Ryan, Kathleen",,,67,Summer,2014,16,carving,kids,feature,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Whittling Summer Earrings,Simple designs will delight all summer long,"Luxbacher, Pete",,,67,Summer,2014,20,whittling,jewelry,earrings,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Bill's Smile Walking Stick,Add a friendly wood spirit to your walking stick,"Bryant, Dick",,,67,Summer,2014,22,walking stick,wood spirit,canes,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Outdoor Finishes and Glues,Use the right products to ensure your outdoor projects last,Staff,,,67,Summer,2014,26,outdoor,finishes,tips,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
The Work of Mavasta Honyouti,Hopi carver carries on the tradition in cottonwood roots,"Garbers, Alan",,,67,Summer,2014,28,cottonwood roots,Hopi carver,artist profile,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Making a Hook Knife,Turn an old saw blade into a useful carving knife,Cariboo Blades,,,67,Summer,2014,31,hook knife,upcycle,shopmade,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Carving Folk-Art Birds,Highlight the tool marks with a little paint to simulate feathers on these simple designs,"Dearolf, Don",,,67,Summer,2014,36,wildlife,painting,feathers,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Carving a Caricature Cowboy,Old-timer looks as rugged as the land he works,"Olson, Ellis",,,67,Summer,2014,38,caricature,cowboy,Step by Step,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Chip-carved Toolbox,Build and embellish your own toolbox,"Stewart, David",,,67,Summer,2014,42,chip carving,toolbox,technique,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Patriotic Bear,Celebrate the stars and stripes with a droll version of Uncle Sam,"Shipley, Mike",,,67,Summer,2014,50,caricature,wildlife,patriotic,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Carving Lips,Simple techniques to carve smiling and frowning lips,"Enlow, Harold",,,67,Summer,2014,52,technique,caricature,lips,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Learn to Paint: Using Oil Paints,Learn the basics of oil painting by making a summery plaque,"Padden, Betty",,,67,Summer,2014,55,painting,beginner,oil paints,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Power Carving a Bark Outhouse,Cute carving makes a useful lavatory nightlight,"De Vries, Robert",,,67,Summer,2014,60,power carving,bathroom,nightlight,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Carving a Seashell,Stylized hardwood shell is modeled after the real thing,"Donaldson, Bill",,,67,Summer,2014,64,seashell,hardwood,projects,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Cooper Hawk Portrait,Woodburn (or relief carve) a striking wildlife portrait,"Walters, Sue",,,67,Summer,2014,71,wildlife,relief carving,woodburning,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Genie Bottle Stopper,Easy-carve caricature embodies a fun play on words,"Spinak, Lawrence",,,67,Summer,2014,72,caricature,genie,bottlestopper,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Carving a Fisherman,Carve a curmudgeonly caricature for your favorite fisherman,"Thornton, Dennis",,,67,Summer,2014,74,caricature,fisherman,grumpy,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Shop-made Sanding Drums,Make custom rotary-tool sanders from inexpensive hardware,"Kinnear, Bill",,,67,Summer,2014,84,shopmade,sanding,tools,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Product Review,Porter Cable 20-volt lithium ion battery tools and Smart Jars,Staff,,,67,Summer,2014,88,Porter Cable,lithium-ion battery tools,Smart Jars,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-67-summer-2014.html
Product Review,"Arbotech Turboplane, Ply90 Brackets, Potato Wood",Staff,"Tomashek, Steve",,68,Fall,2014,14,Arbotech,TurboPlane,Plyproducts,Ply90 brackets,Potato wood,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Spooky Halloween House,Adding scenery and a sky gives a bark house a whole new look,"Hershey, Bob",,,68,Fall,2014,19,bark house,Halloween,live edge,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Hand-Carving a Camping Cup,"Rustic cup is traditional, functional, and sensible","Wiebe, Rick",,,68,Fall,2014,27,camping cup,useful,practical,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Make an Old Knife New Again,Custom-grind an old folding knife into your perfect carving knife,"Trier, Terry",,,68,Fall,2014,32,shopmade,knife,upcycle,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Carved Funeral Coaches,Breathtaking designs honor the deceased,"Ryan, Kathleen",,,68,Fall,2014,34,funeral,coaches,dead,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Carve a Welcoming Wood Spirit,Learn how to carve a smiling face even when the mouth isn't visible,"Harrell, Millard",,,68,Fall,2014,37,wood spirit,techniques,face,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Painting the Fisherman,Use acrylic paints to breathe life into this angler caricature,"Thornton, Susan",,,68,Fall,2014,44,caricature,painting,fishing,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Born to Carve,"Hailing from a family of carpenters, Michael Morris produces gorgeous cabinets and clocks","Ryan, Kathleen",,,68,Fall,2014,48,cabinets,clocks,artist profile,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Cranky Mornings Coffee Cup,Create an amusing cup for any coffee drinker,"Yancey, Bob",,,68,Fall,2014,50,coffee mug,caricature,practical,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Carving a Peach Pit Pig,Forget spitting seeds; use them to learn a 19th-century folk art,"Weaver, Kivel",,,68,Fall,2014,54,peach pit,seed carving,Folk Art,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Plucky Pilgrims,Versatile patterns can be flat pins or 3-D decorations,"Spinak, Lawrence",,,68,Fall,2014,56,pilgrims,decorations,pins,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Low-Relief Animal Scenes,Use these designs to carve gunstocks--or anything else!,"Irish, Lora S",,,68,Fall,2014,60,low-relief,animal,gunstocks,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Learn to Paint: Using Latex Paint,"For durable paint that is easy to blend, try latex house paint","Padden, Betty",,,68,Fall,2014,62,painting,beginner,latex,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
One Ornament for Two Holidays,Clever reversible ornament can be used for fall and winter seasons,"Stewart, Glenn",,,68,Fall,2014,67,ornaments,reversible,Halloween,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
See-Through Ornaments,Pierce these chip-carved designs to add sparkles of light,"Nicholas, Bruce",,,68,Fall,2014,72,pierce relief,chip carving,ornaments,Christmas,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Carving Father Winter,Classic Christmas figure is easy to carve and can be personalized--perfect for holiday gift-giving,"Hendrix, Susan",,,68,Fall,2014,75,Christmas,Father Winter,holiday decoration,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Sven the Happy Barkeep,Celebrate Oktoberfest by carving this cute caricature,"Rhadigan, Floyd",,,68,Fall,2014,78,caricature,beer,German,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Carving a Gourd,New book provides inspiration and instruction,"Widess, Jim","Summit, Ginger",,68,Fall,2014,82,gourds,carving,books,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
A Different Breed of Woodworker,Allan Breed carves historically accurate reproduction furniture,"Ryan, Kathleen",,,68,Fall,2014,86,furniture,artist profile,technique,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Sweet Songbird Pin,Practice relief-carving techniques as you make a folk-art feathered friend,"Jensen, Rick",,,68,Fall,2014,88,relief carving,wildlife,pin,,,http://www.foxchapelpublishing.com/woodcarving-illustrated-issue-68-fall-2014.html
Pyro's Cyber Curator,Kathleen M. Garvey Mendenez traces the history of pyrography with her online museum,"Fitzgerald, Toni",,,PYRO2014,Fall,2014,14,Woodburning,Museum,Artist Profile,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Turning and Burning: The Gibsons' Cup of Tea,This husband and wife teamed up to create museum-quality teapots,"Ryan, Kathleen",,,PYRO2014,Fall,2014,18,Woodburning,Artist Profile,Tea Pot,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Decorate Swirls Plate,Turn a practice board into a work of art,"Schwartz, Jo",,,PYRO2014,Fall,2014,30,Woodburning,Pattern,Technique,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
The Principles of Shading,Use shading techniques to create realistic depth and dimension in your work,"Parsons, Michele",,,PYRO2014,Fall,2014,32,Woodburning,Tips,Cat,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
It's Not All Black and White: Tone in Pyrography,Improve your pyrography by mastering the tonal scale,"Parsons, Michele",,,PYRO2014,Fall,2014,35,Woodburning,Eagle,Horse,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Creating Realistic Folds and Creases in Clothing,Burn in layers to build up shadows for a lifelike look,"Schwartz, Jo",,,PYRO2014,Fall,2014,38,Woodburning,Techniques,Jacket,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Techniques for Burning on Cork,Learn the tricks for turning cork into interesting pyro projects,"Parsons, Michele",,,PYRO2014,Fall,2014,43,Woodburning,Bulletin Board,Office Decor,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Carving with Your Woodburner,Try a new technique to create interesting gourd art,"Widess, Jim","Summit, Ginger",,PYRO2014,Fall,2014,48,Woodburning,Gourds,Aztec,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Making Pyro Patterns (the Easy Way),Hint: You dont have to be an artist of a Photoshop whiz!,"Wallace, Chris",,,PYRO2014,Fall,2014,50,Woodburning,Tips,Pattern,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Burning on Bone,Make faux scrimshaw using a beef bone and a woodburner,"Walters, Sue",,,PYRO2014,Fall,2014,52,Woodburning,Techniques,Horse,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Bountiful Burning,Assorted pyro patterns for inspiration and burning,"Irish, Lora S",,,PYRO2014,Fall,2014,59,Woodburning,Deer,Scenic,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Happy Fall Mouse,Burn and paint a delightful scene on watercolor paper,"Smith, Danette",,,PYRO2014,Fall,2014,64,Woodburning,Mouse,Leaf,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Making a Spirit Animal Hoop,"Embellish a Native American-style ""canvas"" with inspiration animal totems","Schwartz, Jo",,,PYRO2014,Fall,2014,67,Woodburning,Indian,Pattern,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Mirrored Display Frame,Create a custom-burned frame to complement your artwork,"Easton, Simon",,,PYRO2014,Fall,2014,70,Woodburning,Celtic,Box,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Animal Studies,"Practice plaques makes attractive ""sampler"" artwork","Hajny, Desiree",,,PYRO2014,Fall,2014,75,Woodburning,Buffalo,Bear,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Decorative Light Switch Cover,Add a decorative touch in an unexpected place,"Rayyan, Sheila",,,PYRO2014,Fall,2014,78,Woodburning,Dragonfly,practical,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Quotable Zenspirations,Designs to inspire your creativity and feed your spirit,"Fink, Joanne",,,PYRO2014,Fall,2014,80,Woodburning,"Live, Laugh, Love",Word Art,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Teddy Bear Album,Customize a pre-made album with pyrography,"Corbeil, Henriette",,,PYRO2014,Fall,2014,84,Woodburning,Keepsake,Family,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Creating a Pyrotangle Necklace,Turn tangles into wearable woodburned art,"Schwartz, Jo",,,PYRO2014,Fall,2014,88,Woodburning,jewelry,Fashion,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Woodburning Winter Scenes,Practice burning cold snowy scenes using warm sepia tones,"Stadtlander, Robert",,,PYRO2014,Fall,2014,90,Woodburning,House,Scenic,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
Sweet Songbird Pin,Use a woodburner to detail a simple carving,"Jensen, Rick",,,PYRO2014,Fall,2014,94,Woodburning,Bird,Fashion,,,https://www.foxchapelpublishing.com/pyrography-volume-4-2014.html
(Bark) Cottage Industry,Rick Jensen has taught America how to cave cottages from bark,Staff,,,69,Holiday,2014,17,features,rick jensen,bark houses,cottonwood bark,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-69-holiday-2014.html
Moose Antler Madness,Five antler carvers transform trophies into works of art,"Ryan, Kathleen",,,69,Holiday,2014,33,features,moose antler,power carving,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-69-holiday-2014.html
